"c1","c2","text"
"291488734","3/10/2018 ","Why more funds for more   matters - our heroic  have had cuts by GOP for years, particularly w/slashing benefits & Medicaid; also critical for   with "", "" Hey Rafael, WHERE in 2ndAm does it give right to have assault,semi & automatic weapons, bump stocks?! It doesn't!  is not taking away right to have a gun. Let's go 200 or 100 years ago to what guns looked like. It's common sense"")"
"291951344","3/10/2018 ","Gun Storage Laws by State:|"
"292679653","3/10/2018 ","Yes again we come to that without guns it wouldn??t have happened when will they learn this isn??t ending till we end guns I??m so sorry for everyone involved yesterday in my prayers and thoughts"
"30067563","3/10/2018 ","??Next up on  with  Bobby who is 9 explains the the second amendment, and why he hates"
"300956504","3/10/2018 ","Stirred hornets nest w    comments. Clearly 1) Twitter is terrible place for policy debate; 2) people prefer attack over meaningfun conversation; 3) we'll continue to have more dead bodies until we switch into problem solving mode."
"302378787","3/10/2018 ","Thank God someone with that point of view used their new found power to make that extremely point. These gun controlled groups WILL be successful if they remember that INCLUSION is vital."
"3024626899","3/10/2018 ","The Deep State globalists know that gun owners will be very angry when they try to depose  . So they must try to get  first. Hence Parkland, Mandalay Bay etc."
"3058713120","3/10/2018 ","The  does not oppose every  proposal. They only oppose every proposal proposed to date."
"3060124229","3/10/2018 ","What is your  on ? Do you support restrictions on ? Make your voice heard!"
"3075850770","3/10/2018 ","sues state shortly after  signs  measures   ..."
"309963878","3/10/2018 ","Children without terminal illness should NOT be writing wills or having to think their death could be around the next corner."
"31173825","3/10/2018 ","you're on the right track, but arming teachers is not a good idea. Take that off the bill, add a ban for the AR-15, and you will be a hero."
"313759303","3/10/2018 ","  "", ""_Milano  "", "" They need to go away.  "", "" We don??t want you!!!!!!  "")"
"31492322","3/10/2018 ","This is why we need  No child should feel that this is necessary"
"315436946","3/10/2018 ","points out 36, yes 36 school shootings perpetrated by those on  like"
"3162026288","3/10/2018 ","thread"
"3188496615","3/10/2018 ","points out 36, yes 36 school shootings perpetrated by those on  like"
"3259163534","3/10/2018 ","     "", ""   Veto HR4909 it strips the  rights from  without due process  "", ""STOP FIX-NICS HR4909 IS A TROJAN HORSE TO ADVANCE  measure Fix-NICS which strip vets of  right without due process "")"
"326859882","3/10/2018 ","This is an amazing suggestion. What if we socialized children and dogs early together in Pre-school and kindergarten with therapy dogs as a rule instead of bringing them in after the tragic consequences of unsocialized individuals with guns?  VS"
"3295121047","3/10/2018 ","Disgusting criminal organization"
"330013387","3/10/2018 ","1 in 36 Canadians legally own a RESTRICTED firearm in Canada...we are ready to prohibit more rifles. That??s a lot of black rifles waiting 4 gangs to steal them."
"334424918","3/10/2018 ","Outlawing assault weapons is no more a violation of the  than outlawing child pornography is a violation of the ."
"336031500","3/10/2018 ","Dude, your empty thoughts and prayers mean absolutely nothing at this point. We need  and more  for those with MentalHealthIssues."
"34315365","3/10/2018 ","Could   be Trump's legacy? Too early to get one's hopes up, but this is a step in the right direction."
"3464260697","3/10/2018 ","Florida Billboard Slams NRA As 'Terrorist Organization'"
"34845681","3/10/2018 ","_pinkfloyd The remix would include ??we don??t need no guns in class room; Hey teachers leave those guns at home??"
"353276915","3/10/2018 ","Not enough. But at least some  effort."
"369671549","3/10/2018 ","BRAVO!!!"
"378004939","3/10/2018 ","In  Gay, Black Democrats Ask GOP: Why No  After Violence In Our Communities?"
"38036176","3/10/2018 ","   "", ""Join students across the country on March 24 in the  for  and against all of this NRA money in GOP congressmembers?? hands.  Go here and enter your ZIP Code or town to find a march near you:"", ""   "")"
"381132088","3/10/2018 ","Urgent act fast and share Congressman Massie??s  warning."
"3815220455","3/10/2018 ","If a shooter were to threaten ohio schools, what could educators do?"
"384852760","3/10/2018 ","The  spokesperson  was just saying that any  laws should be handled at the state level (rather than federal). Then  raises their age requirement for buying guns and the NRA sues them."
"3914229792","3/10/2018 ","            Gasp and clutch, churls:"", ""            Writhe more, churls:"", ""            Wail away, churls:""
)"
"39189319","3/10/2018 ","What the   Bill Doesn't Do"
"3927664454","3/10/2018 ","When I talk about  , accuse me of being in the NRA. When I talk about  ,  accuse me of wanting to ban guns. My question is, why are we so entrenched our ideologies we instantly resort to black-or-white, this-or-that narratives?"
"39334221","3/10/2018 ","The problem with  Laws is that Criminals & Mentality Evil DON??T CARE ABOUT GUN CONTROL LAWS."
